[0.0000, 0.0588, 0.0039, 0.0010, 0.0154, 0.8000, 0.0154, 0.0154, 0.0010, 0.0154, 0.0010, 0.9412, 0.0154, 0.5000, 0.0588, 0.0154, 0.8000, 0.2000, 0.5000, 0.0000],
[0.0039, 0.0154, 0.8000, 0.0154, 0.0588, 0.5000, 0.0154, 0.0588, 0.0588, 0.5000, 0.015, 0.0588, 0.0588, 0.0588, 0.0588, 0.0154, 0.0588, 0.0588, 0.0588, 0.0588],
[0.0002, 0.8000, 0.5000, 0.0588, 0.0154, 0.0588, 0.0588, 0.2000, 0.0588, 0.5000, 0.8000, 0.0588, 0.9412, 0.5000, 0.0588, 0.2000, 0.5000, 0.0588, 0.0588, 0.0010],
[0.0588, 0.5000, 0.5000, 0.0588, 0.5000, 0.0154, 0.2000, 0.0154, 0.0588, 0.0588, 0.5000, 0.8000, 0.8000, 0.5000, 0.0588, 0.0588, 0.2000, 0.2000, 0.2000, 0.0588],
[0.0588, 0.5000, 0.8000, 0.2000, 0.0154, 0.0154, 0.0154, 0.2000, 0.0588, 0.8000, 0.0588, 0.8000, 0.2000, 0.0154, 0.2000, 0.0588, 0.2000, 0.2000, 0.2000, 0.0039],
[0.9846, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.9412, 0.0588, 0.2000, 0.0588, 0.2000, 0.2000, 0.0588, 0.0588, 0.5000, 0.0588, 0.2000, 0.2000, 0.0039],
[0.8000, 0.2000, 0.0588, 0.2000, 0.2000, 0.2000, 0.0154, 0.0588, 0.0588, 0.0154, 0.5000, 0.2000, 0.2000, 0.0588, 0.0588, 0.9412, 0.5000, 0.2000, 0.2000, 0.0588],
[0.2000, 0.8000, 0.0154, 0.0588, 0.2000, 0.0588, 0.5000, 0.0588, 0.0588, 0.2000, 0.0588, 0.2000, 0.8000, 0.5000, 0.0588, 0.0588, 0.0588, 0.2000, 0.2000, 0.2000],
[0.2000, 0.2000, 0.0588, 0.2000, 0.8000, 0.2000, 0.5000, 0.0588, 0.0588, 0.2000, 0.0588, 0.2000, 0.2000, 0.5000, 0.0588, 0.0588, 0.5000, 0.8000, 0.2000, 0.2000],
[0.2000, 0.2000, 0.5000, 0.8000, 0.2000, 0.2000, 0.0588, 0.0588, 0.0588, 0.5000, 0.0588, 0.0588, 0.2000, 0.0588, 0.2000, 0.0588, 0.5000, 0.2000, 0.2000, 0.0154],
[0.0588, 0.5000, 0.0588, 0.2000, 0.2000, 0.2000, 0.5000, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.8000, 0.0588, 0.2000, 0.0588, 0.0588, 0.8000, 0.2000, 0.0588],
[0.0154, 0.8000, 0.2000, 0.2000, 0.2000, 0.0154, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.0588, 0.5000, 0.5000, 0.2000, 0.5000, 0.0588, 0.2000, 0.8000, 0.0588],
[0.5000, 0.8000, 0.2000, 0.2000, 0.2000, 0.0039, 0.5000, 0.0588, 0.0588, 0.2000, 0.0588, 0.5000, 0.0588, 0.0588, 0.2000, 0.5000, 0.5000, 0.2000, 0.2000, 0.5000],
[0.2000, 0.0154, 0.2000, 0.2000, 0.2000, 0.0154, 0.0588, 0.0588, 0.0588, 0.2000, 0.5000, 0.0154, 0.0588, 0.0588, 0.2000, 0.5000, 0.0588, 0.2000, 0.2000, 0.5000],
[0.2000, 0.0154, 0.2000, 0.2000, 0.2000, 0.0154, 0.9412, 0.9412, 0.5000, 0.2000, 0.5000, 0.5000, 0.0588, 0.0588, 0.2000, 0.0588, 0.2000, 0.8000, 0.2000, 0.0039],
[0.2000, 0.2000, 0.2000, 0.2000, 0.8000, 0.0154, 0.0588, 0.5000, 0.2000, 0.2000, 0.0588, 0.0588, 0.0588, 0.0588, 0.2000, 0.0588, 0.2000, 0.9412, 0.2000, 0.0588],
[0.2000, 0.0588, 0.2000, 0.8000, 0.2000, 0.0154, 0.5000, 0.0588, 0.2000, 0.2000, 0.0588, 0.0588, 0.5000, 0.0588, 0.2000, 0.0588, 0.2000, 0.0588, 0.2000, 0.2000],
[0.8000, 0.2000, 0.8000, 0.2000, 0.2000, 0.5000, 0.2000, 0.0588, 0.2000, 0.2000, 0.0154, 0.5000, 0.0154, 0.0588, 0.2000, 0.0154, 0.0588, 0.0588, 0.5000, 0.9412],
[0.2000, 0.2000, 0.8000, 0.2000, 0.2000, 0.0588, 0.0588, 0.2000, 0.2000, 0.8000, 0.9412, 0.2000, 0.0588, 0.2000, 0.2000, 0.5000, 0.2000, 0.0588, 0.2000, 0.0588],
[0.0154, 0.2000, 0.2000, 0.2000, 0.8000, 0.0154, 0.2000, 0.0588, 0.2000, 0.0039, 0.0154, 0.0154, 0.0154, 0.2000, 0.0154, 0.0588, 0.0154, 0.9412, 0.0010, 0.0000]
